Month,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Data,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bermuda,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Bhutan,6,12,32,79,116,166,139,418,766,599,274,249,274,333,411,539,1110,2718,4151,1675,6,0,32,31,92,34,43,298,418,131,106,81,130,69,183,215,582,1278,1151,79
,,Bolivia,12,12,12,11,12,0,0,0,0,0,15,47,48,36,29,12,34,38,75,40,12,0,0,11,0,0,0,0,0,0,15,23,0,0,17,0,22,26,27,10
,,Bosnia and Herzegovina,0,0,0,0,10,12,0,6,12,6,30,42,57,66,48,30,52,54,59,18,0,0,0,0,10,0,0,6,0,6,18,6,21,18,0,18,28,6,11,6
,,Botswana,1374,1648,1725,1599,1307,841,670,663,538,428,349,227,223,144,137,176,241,242,305,139,486,556,465,279,155,85,214,171,58,116,61,35,55,36,29,116,49,50,89,19
,,Brazil,1460,1348,1346,1405,1478,1601,1784,2001,2096,1949,1966,1807,1910,1991,2349,3201,3950,4356,4527,2186,740,412,422,445,602,689,716,801,752,557,658,607,578,659,861,1161,1226,1116,1347,434
,,British Indian Ocean Territory,12,12,0,10,12,12,0,6,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,,Brunei Darussalam,1198,1691,2269,2677,2742,2566,2530,2321,2050,1729,1323,961,797,653,693,615,504,504,458,240,562,563,769,913,702,742,706,605,526,289,267,229,197,269,141,147,120,144,134,42
,,Bulgaria,47,77,93,104,60,46,34,24,18,47,61,48,55,68,54,41,71,56,103,49,23,17,33,32,0,22,22,0,18,11,13,0,7,20,6,17,11,8,55,7
,,Burkina Faso,0,0,0,0,0,6,12,12,12,12,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0
,,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,7,9
,,Cambodia,75,41,24,12,53,88,116,93,149,174,187,362,361,317,367,370,369,440,646,298,15,17,0,0,41,28,32,21,101,42,79,182,97,113,127,94,117,200,214,58
,,Cameroon,0,6,12,18,24,35,23,24,22,24,18,35,55,24,57,59,69,50,42,28,0,6,0,6,0,11,11,0,22,0,6,11,19,12,21,11,21,14,18,4
,,Canada,4413,6546,8020,9593,11760,15247,17405,18257,18815,17653,16975,16132,14969,14232,13177,12331,13044,13390,13744,6479,2457,3174,3628,4529,5616,7639,9029,8945,8243,6757,6355,5128,4649,4260,3769,3859,3876,3502,3916,1295
,,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
,,Chile,63,127,202,217,242,275,464,600,864,1245,1291,1310,1309,1054,998,1140,1101,1147,1203,461,39,79,70,73,122,119,308,372,324,609,343,410,385,238,374,360,249,391,315,83
,,China,15935,22518,33417,47702,56342,58661,65611,84413,111354,125448,120565,112398,109908,113974,127265,151815,183569,210036,207551,95261,7751,9066,15525,19766,19634,21161,26407,36689,45798,45444,39913,38418,38316,39370,47381,58611,68261,74112,60359,19145
,,Colombia,1822,2000,1744,1573,1389,1368,1540,2178,2631,3131,3619,3486,3209,2682,2807,2939,3285,3813,3838,1807,766,644,556,505,405,552,616,1038,1203,1343,1159,1086,1025,822,863,971,1125,1305,1006,349
,,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0
,,"Congo, Democratic Republic of",0,0,0,0,0,0,0,0,0,4,18,20,24,35,35,48,54,48,41,11,0,0,0,0,0,0,0,0,0,4,6,8,0,11,11,36,6,0,17,5
,,"Congo, Republic of",0,0,0,11,12,12,0,6,12,0,0,6,12,10,12,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,6,0,10,0,0,0,0,0,0
,,Costa Rica,24,18,24,24,12,23,33,24,29,64,66,65,75,59,57,80,110,124,135,62,0,6,0,0,0,11,21,0,29,16,6,17,3,11,33,32,14,28,27,14
,,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,23,12,35,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,23,0,0
,,Croatia,6,22,30,24,14,24,12,12,38,56,61,69,36,24,45,67,73,54,53,24,6,10,18,0,2,0,0,0,26,44,13,9,0,0,21,31,13,6,17,0
,,Cuba,0,0,0,0,0,0,0,1,12,12,12,18,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
,,Cyprus,21,24,18,27,27,30,39,60,12,6,24,23,18,12,12,18,23,24,12,11,21,0,6,15,15,6,15,0,0,6,12,23,6,0,0,6,11,0,0,5
,,Czech Republic,195,264,318,273,223,118,148,115,103,139,184,205,204,156,159,168,187,209,164,70,123,84,90,69,43,10,76,55,19,67,88,49,60,12,51,84,43,53,32,4
,,Denmark,301,251,299,346,382,321,380,582,713,688,703,532,352,416,526,444,567,391,355,90,133,35,143,130,166,81,188,270,257,244,271,148,124,176,178,156,267,127,127,0
,,Dominica,11,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Dominican Republic,0,0,0,0,0,0,0,0,0,11,12,12,0,0,0,0,6,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0
,,East Timor,93,183,144,93,82,36,52,47,24,0,44,50,48,48,23,11,29,35,35,19,81,39,0,33,22,0,28,11,0,0,44,2,0,0,11,11,17,11,11,1
,,Ecuador,70,141,197,175,152,167,216,287,417,407,684,1045,1790,2364,2214,2073,1653,1027,590,243,46,69,53,43,68,47,84,131,153,143,372,469,974,720,246,213,177,115,170,15
,,Egypt,59,121,155,111,208,254,272,309,339,311,236,173,265,332,367,427,467,477,496,174,59,37,59,51,88,86,80,117,75,71,56,53,85,92,115,103,131,93,112,18
,,El Salvador,0,12,24,46,70,23,30,30,34,27,59,83,58,34,35,62,69,71,36,22,0,12,0,22,22,11,6,6,10,3,47,11,22,10,11,26,45,11,0,4
,,Eritrea,6,36,24,24,24,11,23,0,0,0,3,18,12,12,17,12,12,12,12,0,6,24,0,0,0,11,11,0,0,0,3,6,0,0,5,0,0,0,0,0
,,Estonia,0,11,12,12,23,12,12,36,52,57,63,46,46,46,61,70,59,43,81,36,0,11,0,0,11,0,12,24,4,9,3,10,10,10,25,10,11,19,33,0
,,Ethiopia,64,48,24,6,27,38,22,25,32,46,54,60,75,98,174,202,234,311,325,114,4,0,0,6,15,14,10,1,8,22,6,12,15,50,54,34,54,83,37,12
,,Falkland Islands,0,0,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Fiji,1277,1053,1062,925,978,1054,951,834,821,886,772,682,567,564,487,473,529,577,703,348,317,321,306,301,414,334,171,222,293,274,208,166,159,168,163,149,193,181,319,48
,,Finland,141,82,166,190,188,215,276,422,584,606,472,427,508,435,422,402,393,315,215,124,21,46,106,46,32,107,108,230,188,222,100,199,196,87,158,114,57,87,83,22
,,France,1446,1651,2073,2654,3452,4267,4545,5638,7448,6924,5503,4775,4153,3778,3318,3174,2909,2765,2761,975,678,619,885,1310,1616,1975,1905,2650,3200,2544,2119,1463,1561,1282,1254,1206,989,917,841,153
,,French Polynesia,125,92,89,108,60,36,0,4,12,0,0,0,0,0,0,0,0,0,6,6,65,8,17,60,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0
,,Gambia,0,0,0,0,0,0,0,0,0,6,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0
,,Gaza Strip and West Bank,23,12,30,42,42,24,12,0,0,6,20,24,12,0,4,23,24,9,12,4,11,0,18,18,6,0,0,0,0,6,8,0,0,0,4,11,0,9,0,4
,,Georgia,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Germany,2093,2779,3160,3430,3713,3657,3737,4037,4574,4839,4067,3787,3337,3311,3502,3681,3580,3534,3315,1092,1157,1171,1252,1318,1577,1461,1325,1721,1946,1755,1211,1303,1033,947,1210,1377,1300,1506,1047,120
,,Ghana,174,197,190,220,219,236,245,226,229,198,225,346,451,477,625,758,790,829,648,259,54,65,34,52,51,68,77,70,49,30,93,106,139,105,205,254,166,181,132,25
,,Greece,72,91,56,53,69,71,47,75,70,48,48,76,132,72,72,83,35,36,44,31,0,31,32,5,45,11,23,27,22,0,12,40,48,0,24,11,11,0,32,7
,,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,24,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,0
,,Guatemala,0,0,10,35,24,6,16,22,36,42,24,12,28,48,52,75,84,60,46,24,0,0,10,11,0,6,16,10,0,6,0,0,16,36,16,15,0,0,22,6
,,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,6,22,24,23,37,58,36,18,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,11,13,22,0,0
,,Guyana,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0
,,Haiti,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
,,Honduras,13,23,24,12,11,12,12,0,0,0,0,0,0,0,6,12,12,18,23,12,13,11,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,6,11,0
,,Hong Kong,14422,18579,21771,20258,16796,12998,10000,9456,10503,11135,12724,14902,16215,16989,18679,20045,20499,20334,19708,8965,5386,6867,6843,5138,3896,2942,2716,3216,3327,3971,4756,4834,5043,6069,6391,6773,6255,5910,6088,2257
,,Hungary,162,197,221,142,195,153,92,69,112,138,175,241,297,269,387,459,431,325,168,82,54,77,41,46,75,21,32,33,52,42,43,109,69,113,159,111,83,49,72,16
,,Iceland,58,68,59,35,79,96,77,63,60,75,59,128,196,143,97,116,88,82,36,10,22,20,11,11,67,24,17,51,0,39,11,92,76,47,25,56,28,22,0,4
,,India,11600,12110,15235,20384,22185,25466,32193,39342,36693,24944,18560,23861,41761,53636,66284,73531,83762,109112,102069,36511,4316,4730,6571,7184,7005,9506,13269,13050,7101,5192,5624,11705,19297,18860,22988,20599,29402,40484,23637,4357
,,Indonesia,8633,9202,9268,8442,6979,5989,5312,5704,6459,6645,6579,6761,6528,6822,7318,7682,7961,8004,8010,3482,2897,3334,2896,2286,1855,1741,1808,2176,1695,1941,1899,2069,1812,2298,2302,2450,2201,2580,2070,584
,,Iran,307,682,1178,1396,1472,1989,2248,2398,3261,3672,3826,4213,4525,4551,4408,3977,3711,3536,3065,1061,103,346,506,328,500,777,688,898,1389,1296,1258,1057,1153,1131,952,881,723,680,389,173
,,Iraq,12,0,10,12,39,43,88,177,406,538,638,620,928,1443,1636,1266,797,490,156,69,0,0,10,0,27,7,64,81,214,94,170,140,484,483,376,78,41,34,0,15
,,Ireland,122,227,297,254,205,229,193,217,376,350,365,245,187,155,135,123,229,243,205,109,74,119,117,98,61,61,109,109,172,146,173,77,19,47,39,51,97,51,49,13
,,Israel,142,232,285,216,273,262,140,178,152,174,154,164,155,96,48,86,92,108,136,42,46,160,93,84,117,70,44,46,32,54,34,80,23,0,24,50,32,12,40,6
,,Italy,321,346,447,466,476,679,684,818,909,1008,940,1069,1231,1292,1390,1437,1441,1370,1327,608,117,118,183,106,200,223,204,374,285,372,352,409,403,440,370,381,361,290,439,158
,,Jamaica,0,0,0,11,35,36,24,24,12,6,12,12,26,36,53,63,63,59,41,18,0,0,0,11,23,0,0,12,0,6,0,0,26,0,41,15,3,11,17,6
,,Japan,7969,8998,10195,11193,11205,10206,8947,7861,7532,6388,5832,5379,5154,4626,4152,4542,5599,6330,6705,2799,3037,3262,3835,3825,3645,3042,2695,2461,2372,1936,1764,1815,1722,1302,1452,1842,2191,2286,2217,519
,,Jordan,193,202,248,319,341,353,380,513,579,438,353,436,530,627,690,770,776,895,748,237,73,106,92,115,125,65,140,189,207,126,113,148,242,123,246,230,164,211,136,33
,,Kazakhstan,6,26,51,36,45,36,35,24,134,224,261,245,276,238,186,155,222,293,373,170,6,14,15,0,21,0,11,12,98,128,93,77,84,82,42,11,114,101,169,14
,,Kenya,964,941,726,564,649,730,802,859,1019,1035,970,991,1193,1094,1181,1374,1468,1607,1965,873,364,161,186,204,229,310,250,283,335,267,310,355,413,302,509,462,436,539,741,153
,,Kiribati,40,35,12,0,11,19,10,286,636,663,549,245,42,24,6,19,24,35,6,0,16,11,0,0,11,7,10,286,180,51,33,17,6,0,6,7,0,11,6,0
,,"Korea, Democratic People's Republic of (North)",589,185,119,81,23,12,12,11,12,0,0,0,0,0,0,0,0,0,0,0,37,29,23,33,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
,,"Korea, Republic of (South)",8812,10460,12701,14146,15006,15399,16844,18867,19711,19895,18930,17623,15875,14461,13534,12970,13499,15360,16030,6392,3556,4196,4721,5314,5550,5919,6788,7155,7291,7379,6042,6031,5255,4333,4402,4414,4979,5556,4942,1256
,,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
,,Kuwait,55,159,199,242,404,602,688,934,1054,1104,1082,1970,3288,3624,3543,3285,2646,1372,770,216,31,99,43,74,200,230,256,358,202,288,338,1178,1356,996,795,405,222,136,86,30
,,Kyrgyzstan,0,0,0,0,0,0,11,12,0,0,0,4,12,22,12,12,0,3,18,10,0,0,0,0,0,0,11,0,0,0,0,4,0,10,0,0,0,3,6,4
,,Laos,57,36,28,34,58,53,24,24,27,52,36,24,36,6,34,49,57,102,155,76,21,0,4,22,22,17,0,0,27,28,0,12,0,6,22,13,9,42,71,16
,,Latvia,64,79,70,42,23,33,24,22,30,24,18,24,32,40,47,46,36,24,23,6,16,31,22,6,11,21,0,10,6,0,6,0,8,16,23,22,0,0,11,0
,,Lebanon,119,125,90,60,88,112,106,110,103,62,65,86,136,153,154,156,149,155,156,79,59,17,30,12,40,28,22,38,31,14,17,38,64,33,46,84,17,47,48,25
,,Lesotho,12,22,0,0,0,0,0,0,0,0,9,12,12,18,32,35,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,6,8,23,0,0,0,0
,,Liberia,12,12,0,0,0,0,0,0,0,6,18,30,24,8,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,8,11,0,0,0,0,0
,,Libya,58,68,58,108,92,133,200,297,478,828,1272,1147,438,156,96,36,12,0,0,0,22,20,10,60,8,61,68,117,226,384,516,211,30,0,0,0,0,0,0,0
,,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
,,Lithuania,0,21,24,24,29,12,0,16,30,35,22,42,48,31,36,11,23,31,24,21,0,21,0,0,17,0,0,16,18,11,10,18,0,7,0,11,11,19,0,9
,,Luxembourg,10,18,12,29,24,12,27,42,42,12,11,18,18,23,18,50,48,35,23,6,10,6,0,17,0,12,15,6,6,0,11,6,6,11,6,26,0,11,11,0
,,Macau,59,42,94,135,168,254,402,514,724,932,1068,1129,1215,1276,1458,1640,1654,1728,1679,695,11,18,46,51,48,110,198,202,232,380,336,397,387,472,570,608,478,552,419,131
,,Madagascar,0,0,11,17,12,12,12,11,12,12,12,0,10,11,18,23,12,12,12,9,0,0,11,5,0,0,0,11,0,0,0,0,10,11,6,11,0,0,12,3
,,Malawi,35,87,106,94,65,96,99,113,77,89,98,48,11,17,35,24,57,78,42,18,23,39,10,22,17,48,15,29,17,29,50,0,11,5,11,0,45,6,6,0
,,Malaysia,16792,19425,20519,19234,17754,17607,18652,21692,24105,24145,21994,20043,20501,21817,22902,22366,19779,17393,14512,5551,7120,7065,6971,5866,5166,6039,6760,8648,8337,7393,6070,5883,6965,8017,6738,6178,5583,4517,3364,1135
,,Maldives,258,308,397,432,430,327,484,412,304,250,213,149,135,141,222,209,217,206,205,69,114,116,145,168,130,63,208,124,136,58,45,29,39,69,90,17,73,50,73,9
,,Malta,32,24,16,12,12,11,12,0,0,0,0,0,0,0,11,18,12,12,20,12,8,0,4,0,0,11,0,0,0,0,0,0,0,0,11,6,0,0,8,0
,,Marshall Islands,0,0,11,12,12,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
,,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0
,,Mauritius,391,480,430,433,360,423,458,624,756,701,572,397,355,387,402,459,429,404,427,159,175,144,94,133,120,135,158,192,240,173,128,97,91,111,126,147,117,188,67,21
,,Mexico,368,683,877,885,931,976,1001,979,1004,1168,1195,1089,996,877,743,802,818,898,786,354,152,371,277,201,283,352,293,319,356,364,415,357,312,229,215,298,242,310,174,102
,,Moldova,0,0,0,0,16,24,35,48,48,35,35,23,23,0,0,0,0,0,0,0,0,0,0,0,16,0,11,12,12,11,11,11,11,0,0,0,0,0,0,0
,,Monaco,0,0,0,10,23,12,23,41,30,34,6,12,0,11,12,12,12,12,0,0,0,0,0,10,11,0,11,17,6,22,6,0,0,11,0,0,0,0,0,0
,,Mongolia,42,92,122,121,110,118,122,168,173,181,183,196,298,392,470,604,782,813,904,319,6,32,50,49,50,34,26,60,53,73,51,88,118,176,146,232,266,273,268,49
,,Morocco,0,6,12,12,22,12,0,21,12,6,12,6,22,36,42,47,24,23,40,24,0,6,0,0,10,0,0,21,0,6,0,6,10,12,6,11,0,11,16,0
,,Mozambique,12,22,22,38,81,100,54,18,23,23,12,40,40,67,95,128,112,113,96,28,0,10,10,26,21,28,6,6,11,11,0,28,16,31,47,56,28,17,0,10
,,Myanmar,395,349,474,502,462,423,402,446,477,396,414,534,716,788,754,844,1033,1287,1237,479,143,85,138,142,138,123,114,182,129,108,150,210,284,176,226,280,373,447,301,47
,,Namibia,0,0,0,0,0,4,12,10,12,12,12,6,19,24,48,83,78,39,45,12,0,0,0,0,0,4,0,10,0,0,0,6,7,0,48,11,6,3,9,0
,,Nauru,34,12,0,6,12,0,0,0,13,23,11,12,0,0,0,4,23,38,57,27,10,0,0,6,0,0,0,0,13,11,11,0,0,0,0,4,11,14,33,9
,,Nepal,334,313,395,464,585,835,2345,3896,4935,5647,5689,7783,13823,13560,15002,17127,21715,27523,31062,11848,130,97,143,164,165,439,1625,2060,1131,1987,1777,3535,5651,4524,4466,5823,7939,8671,8214,1318
,,Netherlands,465,392,347,477,564,447,675,694,907,747,604,627,637,663,615,667,771,788,786,325,153,152,143,285,228,159,315,322,403,219,184,267,229,171,171,247,267,320,138,31
,,Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
,,New Caledonia,86,79,84,77,36,46,12,0,0,0,6,12,12,11,12,12,0,0,0,0,38,31,36,17,0,10,0,0,0,0,6,0,0,11,0,0,0,0,0,0
,,Nicaragua,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0
,,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
,,Nigeria,229,291,259,219,175,193,204,304,463,611,602,821,1358,2192,3951,4658,3847,3572,3215,1279,85,87,31,51,67,97,48,136,187,191,206,329,674,1052,1839,1454,931,920,803,277
,,North Macedonia,0,0,0,11,12,12,12,22,24,38,33,20,24,34,12,42,65,66,78,55,0,0,0,11,0,0,0,10,0,26,9,8,0,10,0,30,17,6,42,7
,,Norway,17485,17395,14791,10739,7712,5365,4219,4565,5508,5726,5480,4774,3732,3537,3699,3567,3909,3832,3027,858,5701,4915,3535,2687,1844,1525,1615,1661,2280,2222,1712,1318,1200,1233,1167,855,1521,1108,783,114
,,Oman,802,1485,1896,2245,1866,1621,1376,1364,1318,1113,871,1137,1406,1069,1106,1233,1257,1199,1103,502,478,681,732,649,558,457,464,440,346,477,295,477,590,217,458,357,273,251,323,100
,,Pakistan,897,999,1277,1440,1435,1647,1901,2756,3567,3444,3531,4278,5826,6795,7866,8587,8173,7348,6498,2246,273,423,485,384,451,651,737,1280,1131,960,1371,1734,2274,2067,2502,2203,2149,1924,1530,284
,,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
,,Panama,0,0,10,6,12,12,18,12,0,0,0,0,0,0,0,0,33,42,57,28,0,0,10,6,0,0,6,0,0,0,0,0,0,0,0,0,33,6,33,4
,,Papua New Guinea,1782,1598,1295,1275,1098,1265,1486,1587,1887,2036,2469,3022,3360,3865,4336,4588,5100,5366,5327,2241,558,482,311,471,330,461,514,555,639,716,957,1138,1032,1405,1576,1444,1848,1634,1607,405
,,Paraguay,0,0,10,20,23,23,12,23,14,18,36,41,43,22,48,265,309,86,36,17,0,0,10,8,11,11,0,11,2,6,24,17,7,10,36,193,33,14,12,5
,,Peru,128,176,275,450,749,1100,1332,1337,1246,1150,768,891,1136,1249,916,906,1065,1173,1265,553,44,68,107,222,341,512,384,497,406,298,264,459,536,301,256,318,453,369,449,67
,,Philippines,895,1045,1079,970,988,1098,1317,1660,2009,2404,2605,2880,3750,4238,4582,4810,4774,6428,6166,2336,379,325,287,322,292,414,513,676,785,952,877,1260,1506,1274,1594,1354,1570,2528,2518,458
,,Poland,168,284,291,257,201,186,188,215,239,308,294,287,267,209,270,299,451,466,442,146,84,128,63,89,33,66,68,83,95,104,42,95,87,41,78,83,199,94,94,2
,,Portugal,265,315,296,355,486,606,771,897,1049,964,972,851,784,811,715,807,909,874,786,345,61,111,116,151,162,198,315,297,329,280,288,263,232,199,139,255,345,202,210,63
,,Qatar,0,0,18,149,184,190,200,161,115,72,87,89,99,52,88,84,35,12,5,6,0,0,18,137,40,10,44,17,19,24,27,17,39,16,28,0,11,0,5,0
,,Reunion,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Romania,84,53,73,60,60,99,102,66,72,57,52,40,58,95,48,39,56,80,85,42,24,17,25,0,36,39,18,18,0,21,16,16,34,47,0,3,20,32,25,0
,,Russian Federation,649,980,1032,953,699,581,666,960,1404,1567,1747,2018,2171,2164,2048,1856,1734,1320,1183,456,265,380,252,185,123,173,246,456,612,523,619,818,671,712,548,488,558,228,319,72
,,Rwanda,0,0,0,6,12,12,20,24,0,0,4,12,8,37,24,36,56,110,99,42,0,0,0,6,0,0,8,0,0,0,4,0,8,25,0,24,20,50,15,0
,,Samoa ,47,55,34,28,48,36,12,0,6,12,0,6,12,11,0,0,12,12,0,0,11,31,10,16,12,0,0,0,6,0,0,6,0,11,0,0,12,0,0,0
,,Saudi Arabia,87,83,323,864,2100,3898,5461,8906,12645,13624,13659,12650,11795,10162,7233,5220,4693,5537,5369,2035,27,59,215,576,1200,2014,2545,4478,4881,4336,3807,3326,3275,2194,1593,1116,1129,2069,1097,289
,,Serbia,12,12,10,24,12,40,38,61,110,96,121,105,89,101,117,77,36,35,36,23,0,0,10,0,0,28,14,13,50,12,37,9,17,29,21,17,0,11,0,5
,,Seychelles,78,100,231,318,321,246,57,48,93,60,82,69,38,48,49,45,36,0,0,4,30,16,147,78,21,6,21,12,45,0,34,33,14,0,13,21,0,0,0,4
,,Sierra Leone,10,21,12,23,12,12,0,0,0,0,3,12,12,12,12,0,6,29,47,0,10,9,0,11,0,0,0,0,0,0,3,0,0,0,0,0,6,17,11,0
,,Singapore,23912,23876,20687,17423,14539,12426,12060,13485,14626,15749,16092,15734,15301,14853,14397,14322,14113,14042,13059,5216,9536,7688,6311,5543,4507,4458,4224,5433,4798,5501,4956,4610,4705,5649,5025,5094,4285,4622,3423,1028
,,Slovakia,57,73,92,101,94,46,64,83,70,46,61,139,127,92,136,161,163,75,95,40,21,37,44,29,10,10,28,11,34,22,25,67,19,20,76,29,31,15,11,4
,,Slovenia,0,0,0,32,35,78,69,97,106,110,101,77,85,91,86,72,58,56,62,12,0,0,0,32,11,54,9,37,22,26,17,17,37,31,26,0,10,20,2,0
,,Solomon Islands,261,245,261,242,226,239,247,283,286,210,227,256,246,276,297,424,575,652,551,228,93,65,117,74,82,59,91,91,70,78,47,76,102,84,105,160,203,184,119,42
,,Somalia,24,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,South Africa,604,645,780,937,1090,992,987,1232,1458,1567,1213,1084,965,875,1006,1119,1148,1479,1539,735,244,261,252,337,370,344,339,524,414,631,301,364,377,287,382,399,296,519,495,129
,,Spain,210,245,333,330,449,479,380,310,369,453,526,494,523,593,587,609,749,708,668,285,90,149,153,162,269,155,200,142,129,189,202,170,187,209,167,225,245,144,152,51
,,Sri Lanka,1266,1390,1464,1588,2271,3040,3438,3863,3818,3490,3354,3243,3929,4677,5421,6554,7325,8628,8946,3606,366,454,456,520,1047,1036,1338,1127,1106,982,846,975,1385,1353,1845,2138,1961,2820,2214,396
,,St Kitts and Nevis,12,0,0,0,0,0,0,0,0,0,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,,St Lucia,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Sudan,23,0,11,10,21,12,0,0,10,0,0,17,12,33,52,72,66,68,71,39,11,0,11,10,21,0,0,0,10,0,0,17,0,21,28,12,6,32,11,3
,,Suriname,11,12,12,12,0,2,12,12,12,12,12,12,12,0,0,0,0,10,12,6,11,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,10,0,0
,,Swaziland,0,0,0,0,11,12,0,0,0,0,0,0,0,0,6,12,12,12,12,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,,Sweden,6118,5537,4849,4178,4150,3591,2936,3046,2986,2832,2805,2389,2612,2613,2899,3009,2570,2412,1961,703,2038,1829,1537,1334,1150,1059,740,1126,934,1044,789,853,896,825,931,849,782,840,521,67
,,Switzerland,436,505,507,591,580,674,617,574,710,740,681,695,753,620,544,714,766,700,588,206,184,193,231,243,160,254,149,190,266,236,165,251,237,140,220,306,334,208,240,50
,,Syria,23,18,22,4,22,41,39,81,93,56,71,50,33,52,36,33,24,30,36,18,11,6,10,4,10,17,15,45,33,20,23,2,9,16,0,9,12,6,0,0
